origin,carrier,count
BOMBEROS,Acuicola,2
BOMBEROS,Agroindustria,2
BOMBEROS,Aguas servidas,2
BOMBEROS,Celulosa,2
BOMBEROS,ERNC,2
BOMBEROS,Gran Minería,2
BOMBEROS,Hidro,2
BOMBEROS,Hospitales,2
BOMBEROS,Metro,2
BOMBEROS,Planta desaladora,2
BOMBEROS,Químicos,2
BOMBEROS,Residencial,2
BOMBEROS,Transmisión,0
BOMBEROS,Vialidad,0
CBR,Acuicola,0
CBR,Agroindustria,0
CBR,Aguas servidas,0
CBR,Celulosa,0
CBR,ERNC,0
CBR,Gran Minería,0
CBR,Hidro,0
CBR,Hospitales,2
CBR,Metro,0
CBR,Planta desaladora,0
CBR,Químicos,0
CBR,Residencial,3
CBR,Transmisión,0
CBR,Vialidad,0
CCHEN,Acuicola,0
CCHEN,Agroindustria,0
CCHEN,Aguas servidas,0
CCHEN,Celulosa,0
CCHEN,ERNC,0
CCHEN,Gran Minería,2
CCHEN,Hidro,0
CCHEN,Hospitales,12
CCHEN,Metro,0
CCHEN,Planta desaladora,0
CCHEN,Químicos,0
CCHEN,Residencial,0
CCHEN,Transmisión,1
CCHEN,Vialidad,0
CDE,Acuicola,0
CDE,Agroindustria,0
CDE,Aguas servidas,0
CDE,Celulosa,0
CDE,ERNC,0
CDE,Gran Minería,0
CDE,Hidro,0
CDE,Hospitales,0
CDE,Metro,1
CDE,Planta desaladora,0
CDE,Químicos,0
CDE,Residencial,0
CDE,Transmisión,0
CDE,Vialidad,0
CEN,Acuicola,1
CEN,Agroindustria,0
CEN,Aguas servidas,1
CEN,Celulosa,1
CEN,ERNC,2
CEN,Gran Minería,1
CEN,Hidro,2
CEN,Hospitales,0
CEN,Metro,0
CEN,Planta desaladora,1
CEN,Químicos,1
CEN,Residencial,0
CEN,Transmisión,2
CEN,Vialidad,0
CGR,Acuicola,0
CGR,Agroindustria,0
CGR,Aguas servidas,0
CGR,Celulosa,0
CGR,ERNC,0
CGR,Gran Minería,0
CGR,Hidro,0
CGR,Hospitales,0
CGR,Metro,0
CGR,Planta desaladora,0
CGR,Químicos,0
CGR,Residencial,0
CGR,Transmisión,0
CGR,Vialidad,1
CMN,Acuicola,5
CMN,Agroindustria,7
CMN,Aguas servidas,7
CMN,Celulosa,7
CMN,ERNC,5
CMN,Gran Minería,5
CMN,Hidro,5
CMN,Hospitales,8
CMN,Metro,8
CMN,Planta desaladora,5
CMN,Químicos,8
CMN,Residencial,7
CMN,Transmisión,6
CMN,Vialidad,7
CNE,Acuicola,1
CNE,Agroindustria,0
CNE,Aguas servidas,1
CNE,Celulosa,1
CNE,ERNC,3
CNE,Gran Minería,1
CNE,Hidro,3
CNE,Hospitales,0
CNE,Metro,0
CNE,Planta desaladora,1
CNE,Químicos,1
CNE,Residencial,0
CNE,Transmisión,3
CNE,Vialidad,0
CONADI,Acuicola,3
CONADI,Agroindustria,4
CONADI,Aguas servidas,2
CONADI,Celulosa,3
CONADI,ERNC,4
CONADI,Gran Minería,4
CONADI,Hidro,4
CONADI,Hospitales,0
CONADI,Metro,0
CONADI,Planta desaladora,2
CONADI,Químicos,0
CONADI,Residencial,0
CONADI,Transmisión,4
CONADI,Vialidad,4
CONAF,Acuicola,12
CONAF,Agroindustria,10
CONAF,Aguas servidas,14
CONAF,Celulosa,13
CONAF,ERNC,15
CONAF,Gran Minería,14
CONAF,Hidro,13
CONAF,Hospitales,0
CONAF,Metro,0
CONAF,Planta desaladora,0
CONAF,Químicos,0
CONAF,Residencial,0
CONAF,Transmisión,11
CONAF,Vialidad,14
DGA,Acuicola,6
DGA,Agroindustria,4
DGA,Aguas servidas,5
DGA,Celulosa,6
DGA,ERNC,9
DGA,Gran Minería,15
DGA,Hidro,11
DGA,Hospitales,2
DGA,Metro,2
DGA,Planta desaladora,2
DGA,Químicos,5
DGA,Residencial,2
DGA,Transmisión,4
DGA,Vialidad,2
DGAC,Acuicola,0
DGAC,Agroindustria,1
DGAC,Aguas servidas,0
DGAC,Celulosa,1
DGAC,ERNC,5
DGAC,Gran Minería,4
DGAC,Hidro,5
DGAC,Hospitales,4
DGAC,Metro,0
DGAC,Planta desaladora,0
DGAC,Químicos,0
DGAC,Residencial,2
DGAC,Transmisión,6
DGAC,Vialidad,1
DGMN,Acuicola,0
DGMN,Agroindustria,0
DGMN,Aguas servidas,9
DGMN,Celulosa,9
DGMN,ERNC,8
DGMN,Gran Minería,9
DGMN,Hidro,8
DGMN,Hospitales,0
DGMN,Metro,0
DGMN,Planta desaladora,9
DGMN,Químicos,12
DGMN,Residencial,0
DGMN,Transmisión,8
DGMN,Vialidad,8
DIFROL,Acuicola,0
DIFROL,Agroindustria,0
DIFROL,Aguas servidas,0
DIFROL,Celulosa,0
DIFROL,ERNC,0
DIFROL,Gran Minería,2
DIFROL,Hidro,1
DIFROL,Hospitales,0
DIFROL,Metro,0
DIFROL,Planta desaladora,0
DIFROL,Químicos,0
DIFROL,Residencial,0
DIFROL,Transmisión,1
DIFROL,Vialidad,0
DIPRES,Acuicola,0
DIPRES,Agroindustria,0
DIPRES,Aguas servidas,0
DIPRES,Celulosa,0
DIPRES,ERNC,0
DIPRES,Gran Minería,0
DIPRES,Hidro,0
DIPRES,Hospitales,0
DIPRES,Metro,1
DIPRES,Planta desaladora,0
DIPRES,Químicos,0
DIPRES,Residencial,0
DIPRES,Transmisión,0
DIPRES,Vialidad,1
DIRECCION DE VIALIDAD,Acuicola,7
DIRECCION DE VIALIDAD,Agroindustria,6
DIRECCION DE VIALIDAD,Aguas servidas,10
DIRECCION DE VIALIDAD,Celulosa,5
DIRECCION DE VIALIDAD,ERNC,9
DIRECCION DE VIALIDAD,Gran Minería,10
DIRECCION DE VIALIDAD,Hidro,9
DIRECCION DE VIALIDAD,Hospitales,6
DIRECCION DE VIALIDAD,Metro,8
DIRECCION DE VIALIDAD,Planta desaladora,10
DIRECCION DE VIALIDAD,Químicos,10
DIRECCION DE VIALIDAD,Residencial,5
DIRECCION DE VIALIDAD,Transmisión,8
DIRECCION DE VIALIDAD,Vialidad,11
DIRECCION DEL TRABAJO,Acuicola,2
DIRECCION DEL TRABAJO,Agroindustria,2
DIRECCION DEL TRABAJO,Aguas servidas,2
DIRECCION DEL TRABAJO,Celulosa,2
DIRECCION DEL TRABAJO,ERNC,2
DIRECCION DEL TRABAJO,Gran Minería,2
DIRECCION DEL TRABAJO,Hidro,2
DIRECCION DEL TRABAJO,Hospitales,2
DIRECCION DEL TRABAJO,Metro,2
DIRECCION DEL TRABAJO,Planta desaladora,2
DIRECCION DEL TRABAJO,Químicos,3
DIRECCION DEL TRABAJO,Residencial,2
DIRECCION DEL TRABAJO,Transmisión,2
DIRECCION DEL TRABAJO,Vialidad,2
DIRECTEMAR,Acuicola,2
DIRECTEMAR,Agroindustria,1
DIRECTEMAR,Aguas servidas,2
DIRECTEMAR,Celulosa,2
DIRECTEMAR,ERNC,0
DIRECTEMAR,Gran Minería,3
DIRECTEMAR,Hidro,0
DIRECTEMAR,Hospitales,0
DIRECTEMAR,Metro,0
DIRECTEMAR,Planta desaladora,2
DIRECTEMAR,Químicos,0
DIRECTEMAR,Residencial,0
DIRECTEMAR,Transmisión,0
DIRECTEMAR,Vialidad,0
DOH,Acuicola,0
DOH,Agroindustria,0
DOH,Aguas servidas,0
DOH,Celulosa,0
DOH,ERNC,0
DOH,Gran Minería,0
DOH,Hidro,0
DOH,Hospitales,1
DOH,Metro,1
DOH,Planta desaladora,0
DOH,Químicos,1
DOH,Residencial,1
DOH,Transmisión,0
DOH,Vialidad,1
DOM,Acuicola,13
DOM,Agroindustria,13
DOM,Aguas servidas,14
DOM,Celulosa,12
DOM,ERNC,13
DOM,Gran Minería,12
DOM,Hidro,12
DOM,Hospitales,19
DOM,Metro,6
DOM,Planta desaladora,14
DOM,Químicos,14
DOM,Residencial,22
DOM,Transmisión,12
DOM,Vialidad,11
EFE,Acuicola,0
EFE,Agroindustria,0
EFE,Aguas servidas,0
EFE,Celulosa,2
EFE,ERNC,1
EFE,Gran Minería,1
EFE,Hidro,1
EFE,Hospitales,0
EFE,Metro,0
EFE,Planta desaladora,0
EFE,Químicos,0
EFE,Residencial,0
EFE,Transmisión,1
EFE,Vialidad,1
EMPRESAS DE SERVICIOS,Acuicola,3
EMPRESAS DE SERVICIOS,Agroindustria,3
EMPRESAS DE SERVICIOS,Aguas servidas,3
EMPRESAS DE SERVICIOS,Celulosa,5
EMPRESAS DE SERVICIOS,ERNC,0
EMPRESAS DE SERVICIOS,Gran Minería,0
EMPRESAS DE SERVICIOS,Hidro,0
EMPRESAS DE SERVICIOS,Hospitales,5
EMPRESAS DE SERVICIOS,Metro,5
EMPRESAS DE SERVICIOS,Planta desaladora,3
EMPRESAS DE SERVICIOS,Químicos,3
EMPRESAS DE SERVICIOS,Residencial,5
EMPRESAS DE SERVICIOS,Transmisión,0
EMPRESAS DE SERVICIOS,Vialidad,1
GOBERNACION PROVINCIAL,Acuicola,0
GOBERNACION PROVINCIAL,Agroindustria,0
GOBERNACION PROVINCIAL,Aguas servidas,0
GOBERNACION PROVINCIAL,Celulosa,0
GOBERNACION PROVINCIAL,ERNC,0
GOBERNACION PROVINCIAL,Gran Minería,1
GOBERNACION PROVINCIAL,Hidro,0
GOBERNACION PROVINCIAL,Hospitales,0
GOBERNACION PROVINCIAL,Metro,0
